model,topic,class_0_weight,class_1_weight,class_2_weight,word
ST,abortion,0.012566130929757422,-0.0004414238238177026,-0.011500098866185134,would
MT,abortion,0.007119050850305514,0.006001793427491761,9.560258523515378e-05,would
ST,abortion,-0.22142257864763468,-0.02892016985852585,0.2059033859340424,would
MT,abortion,0.3137534518342873,-0.05917785600298385,-0.25457560608322655,would
ST,abortion,0.21201791133109063,-0.01968423989513748,-0.18309773615380817,if
MT,abortion,-0.14056582641932341,0.03004028804674451,-0.11835849294715199,if
ST,abortion,0.1540819078363964,0.015519196796266104,-0.13439766329249245,i
MT,abortion,0.12465992352074497,-0.006301435686822754,0.11052555262899082,i
ST,abortion,0.0055048980570927405,-0.005558321920423119,5.342305045865392e-05,i
MT,abortion,-6.060663760277691e-06,3.92064746594555e-06,2.1317771056531835e-06,i
ST,abortion,0.09183617285420133,-0.049378694988077156,-0.04245747717051775,would
MT,abortion,0.09818564111591295,-0.03749013648069665,-0.06069550810378345,would
ST,abortion,-0.025529951424879065,0.007072602783557976,0.018457350356834618,that
MT,abortion,-0.04026069770250222,0.009751074284895777,0.030509623831145118,that
ST,abortion,-0.06642328200580415,-0.003496630289815684,0.06991991242942736,that
MT,abortion,-0.07114833470979892,0.01769133145410883,0.05345701116844314,that
ST,abortion,0.04025188306515814,-0.033803037636682694,-0.038795006327424324,that
MT,abortion,0.03944197456599452,0.010666164113930437,-0.03706798045377019,that
ST,abortion,0.02304400112442642,0.00841972813135177,0.03372154858434425,would
MT,abortion,-0.026041193141980345,-0.00894633971098232,0.015375040818447854,would
ST,abortion,8.148077565985767e-05,-0.0014568807583872345,-0.03146372712009907,i
MT,abortion,-0.0032710937081638055,-0.002373997339072665,0.012217433025049148,i
ST,abortion,-0.10570555564284957,0.10340884894713087,0.0022967054155388286,would
MT,abortion,-0.04854380227244714,0.035152653141163864,0.013391159114631405,would
ST,abortion,-0.08325741364074676,0.08266310386235341,0.0005943112318709145,if
MT,abortion,-0.021086840796226858,0.031228454390675654,-0.010141615455869281,if
ST,abortion,0.029369011854380147,-0.21035441580736827,0.1859721882982742,that
MT,abortion,-0.0665562903672758,-0.05022150592003099,0.11677780839513865,that
ST,abortion,0.02438221955379212,-0.045168838778874044,0.015799821293729862,if
MT,abortion,-0.052062438335285885,0.0007435367479678519,0.05131890368213438,if
ST,abortion,0.21608968089380545,-0.025147616208397106,-0.2160054734748202,shows
MT,abortion,-0.06242003984643957,0.03125693724062398,0.03119211301581216,shows
ST,abortion,-0.09400538557954727,-0.01362780206702718,0.081778787860581,would
MT,abortion,-0.052137288126897774,0.020982871074438022,0.031163108777124273,would
ST,abortion,-0.05399868058318338,0.012226597190112364,0.06762649134584854,if
MT,abortion,-0.04082796783896703,0.020945178851065747,0.019845097643386315,if
ST,abortion,0.042970117611393466,0.007793676468125072,-0.01782249730988604,for
MT,abortion,0.005795177058326083,-0.0106865596577278,0.007199818151521174,for
ST,abortion,0.0027693347334722847,-8.419111313598374e-05,-0.010563008973043363,that
MT,abortion,0.003486744722078651,-0.006958900949236083,0.001163732054658489,that
ST,abortion,3.5647243732046166e-06,-7.229267808695564e-07,-2.8466290020366316e-06,point
MT,abortion,3.019979839371847e-06,1.2952582223282885e-07,-3.147779021762674e-06,point
ST,abortion,0.05914341379124415,-0.05913968488934361,2.3368688283522943e-05,if
MT,abortion,0.007652605726459063,-0.007587112692851574,-6.549819898554403e-05,if
ST,abortion,-0.04948518858809001,0.04946181901955702,-3.728245218925342e-06,for
MT,abortion,0.006678186442124505,-0.006700326445429503,2.2144097949352286e-05,for
ST,abortion,0.00043130428691602114,0.0004799070031613208,-0.0009112100636438913,should
MT,abortion,-3.9028013252565616e-05,1.942295176621366e-05,1.9601916455469545e-05,should
ST,abortion,0.01968464539699582,-0.0019563151478383103,-0.017728337355663107,for
MT,abortion,-0.003700342593257319,-5.059142759263927e-05,0.0037509252062889885,for
ST,abortion,-5.417926401137284e-08,-2.1280343022253446e-06,2.183366600572181e-06,think
MT,abortion,1.5170358558931208e-06,-7.323634210042118e-07,-7.745782190755894e-07,think
ST,abortion,-0.07084622743928348,-0.03629921928147765,0.0476415483062192,i
MT,abortion,-0.1561635859677495,-0.05935080337662983,0.18391859705591548,i
ST,abortion,0.029555455776860987,0.02927784508901976,-0.016289040957480416,think
